transaction_id,amount,currency,date,vendor
1,5000,USD,2024-01-01,ABC Ltd
2,15000,USD,2024-01-02,XYZ Corp
3,,USD,2024-01-03,ABC Ltd
4,20000,USD,invalid_date,DEF Inc
5,8500,USD,2024-01-05,GHI Corp
6,,EUR,2024-01-06,XYZ Corp
7,30000,USD,2024-01-07,JKL Ltd
8,1200,USD,bad_date,ABC Ltd
9,50000,USD,2024-01-09,DEF Inc
10,9999,EUR,2024-01-10,MNO Corp
11,,USD,2024-01-11,GHI Corp
12,7500,USD,2024-01-12,ABC Ltd
13,25000,USD,not_a_date,XYZ Corp
14,3000,,2024-01-14,DEF Inc
15,11000,USD,2024-01-15,JKL Ltd
16,,EUR,2024-01-16,MNO Corp
17,4500,USD,2024-01-17,ABC Ltd
18,60000,USD,2024-01-18,XYZ Corp
19,8000,USD,2024-01-19,
20,10000,USD,2024-01-20,DEF Inc
21,,USD,invalid_date,GHI Corp
22,2500,USD,2024-01-22,JKL Ltd
23,17000,EUR,2024-01-23,MNO Corp
24,500,USD,2024-01-24,ABC Ltd
25,45000,USD,2024-01-25,XYZ Corp
26,3200,,2024-01-26,DEF Inc
27,,USD,2024-01-27,GHI Corp
28,12000,USD,2024-01-28,
29,9000,USD,bad_date,JKL Ltd
30,75000,USD,2024-01-30,MNO Corp
